MovieName,Year,IMDbRating,IMDbVotes,Awards,Language,AltText
#Pellichoopulu,2016,8.4,2762,3 wins & 4 nominations.,Telugu,"pellichoopulu,pellichoopulu 2016,Pellichoopulu"
#Stuck,2014,5.6,854,N/A,English,"stuck,stuck 2014,Stuck"
$50K and a Call Girl: A Love Story,2014,6.9,1840,N/A,English,"50k and a call girl a love story,50k and a call girl a love story 2014,50K and a Call Girl A Love Story,50kandacallgirlalovestory"
'71,2014,7.2,44158,Nominated for 1 BAFTA Film Award. Another 12 wins & 25 nominations.,English,"71,71 2014"
'D',2005,6.9,1044,N/A,Hindi,"d,d 2005,D"
'Tis the Season for Love,2015,6.6,1034,N/A,English,"tis the season for love,tis the season for love 2015,Tis the Season for Love,tistheseasonforlove"
1 Night,2016,5.8,1506,N/A,English,"1 night,1 night 2016"
10 Cloverfield Lane,2016,7.2,245993,13 wins & 45 nominations.,English,"10 cloverfield lane,10 cloverfield lane 2016"
10 Days in a Madhouse,2015,7.1,758,N/A,English,"10 days in a madhouse,10 days in a madhouse 2015"
"10,000 Saints",2015,5.9,4678,1 nomination.,English,"10000 saints,10000 saints 2015,10000 Saints,10000saints"
10.000 Km,2014,6.7,3415,18 wins & 23 nominations.,"Spanish,Catalan,English","10000 km,10000 km 2014,10000 Km,10000km"
100 Code,2015,7.4,2101,1 nomination.,"Swedish,English","100 code,100 code 2015"
100 Streets,2016,5.7,2795,N/A,English,"100 streets,100 streets 2016"
1001 Grams,2014,6.3,1134,3 wins & 8 nominations.,"Norwegian,French,English","1001 grams,1001 grams 2014"
11 Minutes,2015,5.8,1163,6 wins & 8 nominations.,"Polish,English","11 minutes,11 minutes 2015"
Eklavya: The Royal Guard,2007,6.2,2807,N/A,Hindi,"eklavya the royal guard,eklavya the royal guard 2007,Eklavya The Royal Guard,eklavyatheroyalguard"
Election,2005,7.1,8096,15 wins & 24 nominations.,"Cantonese,Mandarin,English","election,election 2005"
Elena of Avalor,2016,6.6,732,Nominated for 1 Primetime Emmy. Another 1 win & 5 nominations.,English,"elena of avalor,elena of avalor 2016"
Elevator,2011,5.3,5032,N/A,English,"elevator,elevator 2011"
Embers,2015,5.3,1586,18 wins & 10 nominations.,English,"embers,embers 2015"
Empire,2002,6,6776,2 nominations.,"English,Spanish","empire,empire 2002"
Entertainment,2015,5.7,2184,1 win & 3 nominations.,"English,Spanish","entertainment,entertainment 2015"
Epic,2013,6.7,93476,2 wins & 21 nominations.,English,"epic,epic 2013"
Eternal Sunshine of the Spotless Mind,2004,8.3,789823,Won 1 Oscar. Another 71 wins & 109 nominations.,English,"eternal sunshine of the spotless mind,eternal sunshine of the spotless mind 2004"
Americano,2011,5.2,828,N/A,"French,Spanish,English","americano,americano 2011"
An Insignificant Man,2016,8.9,1243,1 win & 5 nominations.,Hindi,"an insignificant man,an insignificant man 2016"
Angel,2007,5.9,4751,1 win & 3 nominations.,English,"angel,angel 2007"
Anne of Green Gables,2016,6.4,891,5 nominations.,English,"anne of green gables,anne of green gables 2016"
Any Day Now,2012,7.5,5268,11 wins & 7 nominations.,English,"any day now,any day now 2012"
Anything for Love,2016,6.6,1288,N/A,English,"anything for love,anything for love 2016"
Apart,2011,5.3,535,1 nomination.,English,"apart,apart 2011"
Chasing Ghosts,2005,5.5,1272,N/A,"English,Spanish","chasing ghosts,chasing ghosts 2005"
